Year,Month,State,Primary Mode,Etiology,Serotype or Genotype,Etiology Status,Setting,Illnesses,Hospitalizations,Info On Hospitalizations,Deaths,Info On Deaths,Food Vehicle,Food Contaminated Ingredient,IFSAC Category,Water Exposure,Water Type,Animal Type
1974,7,Wisconsin,Water,Phenol,,Confirmed,Farm/dairy/agricultural setting,17,,,0,,,,,Drinking water,Individual/Private,
1979,6,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Hotel/motel,13,,,4,,,,,Other/Environmental water,,
1979,9,Wisconsin,Water,Shigella sonnei,,Confirmed,Private home/residence,4,,,0,,,,,Drinking water,Individual/Private,
1980,7,Wisconsin,Water,Unknown;Hepatitis A,,Suspected;Confirmed,Factory/industrial facility,12,,,0,,,,,Drinking water,Individual/Private,
1981,9,Wisconsin,Water,Giardia duodenalis,,Confirmed,Hotel/motel,25,,,0,,,,,Drinking water,Community,
1982,1,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Hotel/motel,59,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1982,7,Wisconsin,Water,Shigella flexneri,,Confirmed,Private home/residence,12,2,,0,,,,,Drinking water,Individual/Private,
1983,1,Wisconsin,Water,Pseudomonas unknown,,Suspected,Hotel/motel,6,,,,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1983,7,Wisconsin,Water,Enterovirus Coxsackievirus A,1,Confirmed,Beach,40,0,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
1983,7,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Fee-based facility/membership club,100,,,,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1984,3,Wisconsin,Water,Unknown,,Suspected,Restaurant,120,4,,0,,,,,Drinking water,Other,
1985,9,Wisconsin,Water,Campylobacter jejuni,,Confirmed,Community/municipality,150,2,,0,,,,,Drinking water,Community,
1986,8,Wisconsin,Water,Legionella pneumophila,serogroup 1,Confirmed,Community/municipality,32,,,2,,,,,Other/Environmental water,,
1986,12,Wisconsin,Water,,,,Hotel/motel,9,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1987,3,Wisconsin,Water,Unknown,,Suspected,Restaurant,39,0,,0,,,,,Drinking water,Community,
1987,5,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Private home/residence,10,1,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1987,8,Wisconsin,Water,,,,Camp/cabin,160,0,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
1988,5,Wisconsin,Water,Unknown,,Suspected,Restaurant,340,1,,0,,,,,Drinking water,Other,
1988,6,Wisconsin,Water,Unknown;Unknown;Legionella unknown;Legionella pneumophila,,Suspected;Suspected;Confirmed;Suspected,Hotel/motel,14,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1990,6,Wisconsin,Water,,,,Outdoor Area,79,0,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
1990,8,Wisconsin,Water,Shigella sonnei,,Confirmed,Outdoor Area,10,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1991,2,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Hotel/motel,24,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1991,3,Wisconsin,Water,Unknown,,Suspected,Hotel/motel,33,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool;Pool - Other Swimming Pool,
1991,3,Wisconsin,Water,Pseudomonas unknown,,Suspected,Hotel/motel,45,,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1991,5,Wisconsin,Water,Legionella unknown,,Confirmed,Hotel/motel,6,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1991,6,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Private home/residence,8,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1992,1,Wisconsin,Water,Copper,,Confirmed,Subdivision/Neighborhood,24,0,,0,,,,,Drinking water,Community,
1992,2,Wisconsin,Water,Pseudomonas unknown,,Confirmed,Hotel/motel,10,0,,0,,,,,Recreational water -- treated,Hot Tub/Spa/Whirlpool,
1992,9,Wisconsin,Water,Copper,,Confirmed,School/college/university,11,0,,0,,,,,Drinking water,Community,
1992,12,Wisconsin,Water,Copper,,Confirmed,Apartment/Condo,6,0,,0,,,,,Drinking water,Community,
1993,3,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,"403,000",,,50,,,,,Drinking water,Community,
1993,4,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Hotel/motel,51,3,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1993,8,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Hotel/motel,64,1,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1993,8,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,54,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1993,8,Wisconsin,Water,Cryptosporidium parvum,,Confirmed,Community/municipality,5,0,,0,,,,,Recreational water -- treated,Pool - Other Swimming Pool,
1995,6,Wisconsin,Water,"Giardia duodenalis;Plesiomonas shigelloides;Escherichia coli, Shiga toxin-producing",O157:H7,Confirmed;Confirmed;Confirmed,Beach,8,5,,0,,,,,Recreational water -- untreated,Lake/Reservoir,
1995,8,Wisconsin,Water,Unknown,,Suspected,Resort,26,1,,0,,,,,Drinking water,Other,
